species,year,annual,cumulative,case
Biogenic CO2,2054,1.4619374126570613e-10,3.7829859333863375e-09,REF
Biogenic CO2,2055,1.5122271955141071e-10,3.934208652937748e-09,REF
Biogenic CO2,2056,3.5867292000828927e-10,4.292881572946037e-09,REF
Biogenic CO2,2057,1.4647148960282823e-10,4.439353062548865e-09,REF
Biogenic CO2,2058,1.5440341842770056e-10,4.593756480976566e-09,REF
Biogenic CO2,2059,1.5942527271604135e-10,4.7531817536926075e-09,REF
Biogenic CO2,2060,3.7802764738658015e-10,5.131209401079187e-09,REF
Biogenic CO2,2061,1.636466359580916e-10,5.294856037037279e-09,REF
Biogenic CO2,2062,1.6197415799844438e-10,5.456830195035724e-09,REF
Biogenic CO2,2063,1.6757588060910988e-10,5.624406075644833e-09,REF
Biogenic CO2,2064,3.89968436948582e-10,6.014374512593415e-09,REF
Biogenic CO2,2065,1.7917659399033668e-10,6.193551106583752e-09,REF
Biogenic CO2,2066,1.7324505182336427e-10,6.366796158407116e-09,REF
Biogenic CO2,2067,1.7858793549363438e-10,6.545384093900751e-09,REF
Biogenic CO2,2068,4.0812484389445125e-10,6.953508937795202e-09,REF
Biogenic CO2,2069,1.9367676580775935e-10,7.147185703602961e-09,REF
Biogenic CO2,2070,1.8084234097268895e-10,7.32802804457565e-09,REF
Biogenic CO2,2071,1.8621652287723848e-10,7.514244567452889e-09,REF
Biogenic CO2,2072,4.210725374047251e-10,7.935317104857613e-09,REF
Biogenic CO2,2073,2.0715813900856143e-10,8.142475243866176e-09,REF
Biogenic CO2,2074,1.8865976162447523e-10,8.33113500549065e-09,REF
Biogenic CO2,2075,1.9401236537566296e-10,8.525147370866313e-09,REF
Biogenic CO2,2076,4.2868852460885564e-10,8.953835895475169e-09,REF
Biogenic CO2,2077,2.1379704116805872e-10,9.167632936643228e-09,REF
Biogenic CO2,2078,1.8482544129213956e-10,9.352458377935368e-09,REF
Biogenic CO2,2079,1.84718126492098e-10,9.537176504427466e-09,REF
